order_id,sku,qty
ORD-0001,21108,18
ORD-0001,21015,24
ORD-0001,22801,4
ORD-0001,22798,8
ORD-0001,22800,4
ORD-0001,84347,120
ORD-0001,21803,36
ORD-0002,22418,24
ORD-0002,21731,12
ORD-0002,23084,6
ORD-0002,23445,20
ORD-0002,21791,12
ORD-0002,22759,12
ORD-0002,22421,12
ORD-0002,20975,24
ORD-0002,22983,12
ORD-0002,21507,12
ORD-0002,22037,12
ORD-0002,22029,12
ORD-0002,23356,3
ORD-0002,21479,8
ORD-0002,21930,10
ORD-0002,22596,12
ORD-0002,23343,10
ORD-0002,85123A,6
ORD-0003,23493,10
ORD-0003,23583,10
ORD-0003,22752,6
ORD-0003,22865,24
ORD-0003,21481,12
ORD-0003,21484,24
ORD-0003,23084,24
ORD-0003,21212,24
ORD-0003,23158,24
ORD-0003,23155,24
ORD-0003,23159,24
ORD-0003,23156,12
ORD-0003,22666,6
ORD-0003,20712,10
ORD-0003,62018,6
ORD-0003,21931,10
ORD-0004,22326,18
ORD-0004,85183B,12
ORD-0004,21452,6
ORD-0004,20750,2
ORD-0004,84032A,6
ORD-0004,84032B,6
ORD-0004,23480,4
ORD-0005,21326,144
ORD-0005,23300,12
ORD-0005,23355,4
ORD-0005,21137,16
ORD-0006,21823,10
ORD-0007,23483,72
ORD-0007,20725,20
ORD-0007,22383,20
ORD-0007,23207,20
ORD-0007,82001S,24
ORD-0007,22114,4
ORD-0007,22835,8
ORD-0007,22111,9
ORD-0008,23084,12
ORD-0008,23480,8
ORD-0009,79321,24
ORD-0010,22086,40
ORD-0010,22738,40
ORD-0010,22735,30
ORD-0010,22909,96
ORD-0010,22170,4
ORD-0011,23177,24
ORD-0011,23084,48
ORD-0012,21479,4
ORD-0012,21484,4
ORD-0012,22113,4
ORD-0012,22114,4
ORD-0012,22112,3
ORD-0012,23356,3
ORD-0012,21257,4
ORD-0012,21258,1
ORD-0012,21833,12
ORD-0012,20682,6
ORD-0012,22418,24
ORD-0012,22577,24
ORD-0012,22578,24
ORD-0013,23583,10
ORD-0013,22457,6
ORD-0013,21485,3
ORD-0013,84949,18
ORD-0013,22144,6
ORD-0013,22142,12
ORD-0013,85034B,24
ORD-0013,22801,4
ORD-0013,85034C,24
ORD-0013,21619,12
ORD-0013,22423,1
ORD-0013,85123A,6
ORD-0014,84947,36
ORD-0014,84947,72
ORD-0015,21818,72
ORD-0015,21822,48
ORD-0015,22577,24
ORD-0015,22947,6
ORD-0016,21429,8
ORD-0016,71053,4
ORD-0016,23145,12
ORD-0016,23144,12
ORD-0016,85066,2
ORD-0016,21411,3
ORD-0017,22757,1
ORD-0017,22776,3
ORD-0017,22810,1
ORD-0017,22812,7
ORD-0017,22844,1
ORD-0017,22845,1
ORD-0017,22866,8
ORD-0017,22867,1
ORD-0017,22922,6
ORD-0017,22947,18
ORD-0017,22960,4
ORD-0017,22961,6
ORD-0017,22973,2
ORD-0017,22988,1
ORD-0017,22993,6
ORD-0017,22996,1
ORD-0017,23029,4
ORD-0017,23035,12
ORD-0017,23080,1
ORD-0017,23089,1
ORD-0017,23157,1
ORD-0017,23158,3
ORD-0017,23163,1
ORD-0017,23170,2
ORD-0017,23171,1
ORD-0017,23172,1
ORD-0017,23182,2
ORD-0017,23196,2
ORD-0017,23197,1
ORD-0017,23198,1
ORD-0017,23199,14
ORD-0017,23201,5
ORD-0017,23229,2
ORD-0017,23234,1
ORD-0017,23245,1
ORD-0017,23284,4
ORD-0017,23299,1
ORD-0017,23300,6
ORD-0017,23301,9
ORD-0017,23311,2
ORD-0017,23328,6
ORD-0017,23344,1
ORD-0017,23349,7
ORD-0017,23350,4
ORD-0017,23351,21
ORD-0017,23352,11
ORD-0017,23353,5
ORD-0017,23354,9
ORD-0017,23355,3
ORD-0017,23355,1
ORD-0017,23355,1
ORD-0017,23356,1
ORD-0017,23371,5
ORD-0017,23382,7
ORD-0017,23404,1
ORD-0017,23480,4
ORD-0017,48185,4
ORD-0017,48194,1
ORD-0017,82482,5
ORD-0017,82484,1
ORD-0017,82578,1
ORD-0017,82580,1
ORD-0017,82581,2
ORD-0017,84032A,1
ORD-0017,84032B,4
ORD-0017,84792,1
ORD-0017,85048,4
ORD-0017,85099B,7
ORD-0017,85099C,4
ORD-0017,85174,1
ORD-0017,20676,4
ORD-0017,20679,1
ORD-0017,20711,2
ORD-0017,20712,4
ORD-0017,20713,20
ORD-0017,20718,2
ORD-0017,20961,2
ORD-0017,20970,1
ORD-0017,21035,3
ORD-0017,21116,4
ORD-0017,21124,1
ORD-0017,21137,5
ORD-0017,21156,3
ORD-0017,21169,1
ORD-0017,21181,3
ORD-0017,21216,3
ORD-0017,21217,2
ORD-0017,21218,6
ORD-0017,21257,4
ORD-0017,21328,1
ORD-0017,21329,1
ORD-0017,21426,1
ORD-0017,21428,1
ORD-0017,21430,4
ORD-0017,21494,1
ORD-0017,21558,1
ORD-0017,21559,1
ORD-0017,21561,1
ORD-0017,21621,1
ORD-0017,21625,1
ORD-0017,21706,1
ORD-0017,21731,7
ORD-0017,21774,1
ORD-0017,21786,1
ORD-0017,21790,1
ORD-0017,21809,1
ORD-0017,21843,1
ORD-0017,21864,5
ORD-0017,21871,2
ORD-0017,21874,2
ORD-0017,21876,4
ORD-0017,21888,3
ORD-0017,21889,1
ORD-0017,21916,2
ORD-0017,21918,2
ORD-0017,21928,2
ORD-0017,21929,5
ORD-0017,21930,6
ORD-0017,21931,7
ORD-0017,21934,1
ORD-0017,21935,1
ORD-0017,21948,1
ORD-0017,21949,1
ORD-0017,21955,1
ORD-0017,21989,6
ORD-0017,22041,4
ORD-0017,22042,1
ORD-0017,22076,1
ORD-0017,22077,5
ORD-0017,22083,3
ORD-0017,22085,1
ORD-0017,22090,1
ORD-0017,22094,1
ORD-0017,22131,2
ORD-0017,22135,2
ORD-0017,22141,1
ORD-0017,22142,2
ORD-0017,22144,11
