sku,description,weekly_picks,class
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,9.95,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,54.21,A
85099B,JUMBO BAG RED WHITE SPOTTY,39.32,A
21212,PACK OF 72 RETRO SPOT CAKE CASES,31.33,A
22197,"POPCORN HOLDER , SMALL",23.36,A
84879,ASSORTED COLOUR BIRD ORNAMENT,27.99,A
23843,"PAPER CRAFT , LITTLE BIRDIE",0.01,A
23166,MEDIUM CERAMIC TOP STORAGE JAR,2.38,A
17003,BROCADE RING PURSE,4.54,A
21977,PACK OF 60 PINK PAISLEY CAKE CASES,19.82,A
84991,60 TEATIME FAIRY CAKE CASES,21.5,A
22492,MINI PAINT SET VINTAGE,7.13,A
15036,ASSORTED COLOURS SILK FAN,9.56,A
20725,LUNCH BAG RED SPOTTY,30.28,A
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,12.4,A
22178,VICTORIAN GLASS HANGING T-LIGHT,17.99,A
21213,PACK OF 72 SKULL CAKE CASES,14.74,A
22616,PACK OF 12 LONDON TISSUES,8.43,A
22386,JUMBO BAG PINK WITH WHITE SPOTS,22.11,A
21232,STRAWBERRY CERAMIC TRINKET BOX,24.35,A
84568,GIRLS ALPHABET IRON ON PATCHES,2.99,A
21915,RED  HARMONICA IN BOX,10.27,A
84946,ANTIQUE SILVER TEA GLASS ETCHED,17.69,A
85099F,JUMBO BAG STRAWBERRY,17.99,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS,20.94,A
84992,72 SWEETHEART FAIRY CAKE CASES,14.9,A
22952,72 CAKE CASES VINTAGE CHRISTMAS,11.98,A
71459,HANGING JAM JAR T-LIGHT HOLDER,9.86,A
21982,PACK OF 12 SUKI TISSUES,7.3,A
22355,"CHARLOTTE BAG , SUKI DESIGN",17.14,A
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,7.99,A
20724,RED SPOTTY CHARLOTTE BAG,20.02,A
21080,SET/20 RED SPOTTY PAPER NAPKINS,21.08,A
23084,RABBIT NIGHT LIGHT,9.99,A
21975,PACK OF 60 DINOSAUR CAKE CASES,13.15,A
21980,PACK OF 12 RED SPOTTY TISSUES,6.66,A
85099C,JUMBO  BAG BAROQUE BLACK WHITE,18.34,A
16014,SMALL CHINESE STYLE SCISSOR,0.92,A
21731,RED TOADSTOOL LED NIGHT LIGHT,15.28,A
21931,JUMBO STORAGE BAG SUKI,22.86,A
22469,HEART OF WICKER SMALL,21.93,A
47566,PARTY BUNTING,26.12,A
21790,VINTAGE SNAP CARDS,18.81,A
22151,PLACE SETTING WHITE HEART,7.22,A
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,21.67,A
22423,REGENCY CAKESTAND 3 TIER,38.71,A
21498,RED SPOTS  WRAP,7.75,A
20727,LUNCH BAG  BLACK SKULL.,23.66,A
84970S,HANGING HEART ZINC T-LIGHT HOLDER,13.93,A
21981,PACK OF 12 WOODLAND TISSUES,5.65,A
21929,JUMBO BAG PINK VINTAGE PAISLEY,15.79,A
37410,BLACK AND WHITE PAISLEY FLOWER MUG,0.32,A
21985,PACK OF 12 HEARTS DESIGN TISSUES,9.19,A
21181,PLEASE ONE PERSON  METAL SIGN,18.1,A
21984,PACK OF 12 PINK PAISLEY TISSUES,4.42,A
22383,LUNCHBAG SUKI  DESIGN,23.89,A
20719,WOODLAND CHARLOTTE BAG,15.47,A
20728,LUNCH BAG CARS BLUE,20.39,A
84212,"ASSORTED FLOWER COLOUR ""LEIS""",2.67,A
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15.12,A
20713,JUMBO BAG OWLS,13.04,A
84270,ASSTD DESIGN BUBBLE GUM RING,4.61,A
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,6.59,A
20971,PINK BLUE FELT CRAFT TRINKET BOX,11.49,A
20726,LUNCH BAG WOODLAND,19.16,A
20668,DISCO BALL CHRISTMAS DECORATION,3.8,A
84978,HANGING HEART JAR T-LIGHT HOLDER,13.96,A
22417,PACK OF 60 SPACEBOY CAKE CASES,10.98,A
22629,SPACEBOY LUNCH BOX,13.67,A
22384,LUNCHBAG PINK RETROSPOT,20.9,A
21175,GIN + TONIC DIET METAL SIGN,16.34,A
84598,BOYS ALPHABET IRON ON PATCHES,2.1,A
20972,PINK CREAM FELT CRAFT TRINKET BOX,13.93,A
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,14.71,A
23203,mailout,11.9,A
21166,COOK WITH WINE METAL SIGN,14.12,A
22382,LUNCHBAG SPACEBOY DESIGN,21.25,A
84836,ZINC METAL HEART DECORATION,14.19,A
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",15.53,A
72741,GRAND CHOCOLATECANDLE,9.09,A
21094,SET/6 RED SPOTTY PAPER PLATES,9.59,A
21137,BLACK RECORD COVER FRAME,6.22,A
