order_id,sku,qty
ORD-0001,SKU-0103,8
ORD-0002,SKU-0006,10
ORD-0002,SKU-0002,6
ORD-0002,SKU-0008,10
ORD-0003,SKU-0013,7
ORD-0003,SKU-0001,5
ORD-0003,SKU-0024,1
ORD-0003,SKU-0101,1
ORD-0003,SKU-0005,7
ORD-0004,SKU-0085,10
ORD-0004,SKU-0005,4
ORD-0004,SKU-0052,11
ORD-0005,SKU-0111,2
ORD-0006,SKU-0087,1
ORD-0006,SKU-0001,12
ORD-0006,SKU-0005,6
ORD-0006,SKU-0056,9
ORD-0007,SKU-0023,12
ORD-0007,SKU-0001,6
ORD-0007,SKU-0003,7
ORD-0007,SKU-0027,5
ORD-0008,SKU-0012,5
ORD-0008,SKU-0011,5
ORD-0008,SKU-0052,11
ORD-0009,SKU-0020,6
ORD-0009,SKU-0008,1
ORD-0009,SKU-0051,6
ORD-0009,SKU-0047,5
ORD-0010,SKU-0106,10
ORD-0010,SKU-0018,3
ORD-0010,SKU-0029,4
ORD-0011,SKU-0004,7
ORD-0011,SKU-0006,3
ORD-0012,SKU-0035,7
ORD-0013,SKU-0073,4
ORD-0013,SKU-0004,3
ORD-0013,SKU-0002,8
ORD-0013,SKU-0075,7
ORD-0014,SKU-0004,2
ORD-0014,SKU-0046,5
ORD-0014,SKU-0070,8
ORD-0014,SKU-0012,4
ORD-0014,SKU-0006,1
ORD-0014,SKU-0035,9
ORD-0015,SKU-0004,5
ORD-0015,SKU-0001,12
ORD-0015,SKU-0003,3
ORD-0015,SKU-0053,6
ORD-0016,SKU-0001,2
ORD-0016,SKU-0005,10
ORD-0016,SKU-0004,2
ORD-0016,SKU-0098,5
ORD-0016,SKU-0030,6
ORD-0017,SKU-0002,5
ORD-0017,SKU-0051,11
ORD-0018,SKU-0067,2
ORD-0018,SKU-0004,11
ORD-0018,SKU-0005,11
ORD-0018,SKU-0045,5
ORD-0018,SKU-0010,2
ORD-0019,SKU-0002,5
ORD-0019,SKU-0001,7
ORD-0019,SKU-0074,8
ORD-0019,SKU-0034,7
ORD-0020,SKU-0008,2
ORD-0021,SKU-0001,8
ORD-0021,SKU-0002,10
ORD-0021,SKU-0027,5
ORD-0021,SKU-0037,2
ORD-0021,SKU-0031,5
ORD-0021,SKU-0003,10
ORD-0022,SKU-0002,7
ORD-0022,SKU-0005,6
ORD-0022,SKU-0004,12
ORD-0023,SKU-0001,8
ORD-0023,SKU-0009,6
ORD-0023,SKU-0006,6
ORD-0023,SKU-0074,8
ORD-0023,SKU-0035,6
