sku,description,abc_class,velocity,weight_kg,storage_type
SKU-0001,bracket type 2,A,2000,1.3,
SKU-0002,hinge short,A,1072,0.2,
SKU-0003,gasket M8,A,744,6.7,
SKU-0004,valve short,A,574,0.6,
SKU-0005,filter long,A,470,8.1,
SKU-0006,cable M6,A,399,6.2,
SKU-0007,sensor DN15,A,347,1.9,
SKU-0008,bearing short,A,308,6.3,
SKU-0009,clamp M8,A,277,6.5,
SKU-0010,housing DN15,A,252,4.7,
SKU-0011,spring DN25,A,231,11.3,
SKU-0012,nozzle DN25,A,214,1.3,
SKU-0013,bracket type 2,A,199,11.1,
SKU-0014,hinge M8,A,186,1.5,
SKU-0015,gasket type 3,A,175,3.8,
SKU-0016,valve DN15,A,165,3.0,
SKU-0017,filter type 2,A,156,3.4,
SKU-0018,cable M6,A,148,2.3,
SKU-0019,sensor short,A,141,10.2,
SKU-0020,bearing M6,A,135,2.2,
SKU-0021,clamp M10,A,129,0.8,
SKU-0022,housing M10,A,124,1.8,
SKU-0023,spring DN15,A,119,7.0,
SKU-0024,nozzle DN15,A,115,10.9,
SKU-0025,bracket DN25,B,110,1.3,
SKU-0026,hinge short,B,107,5.7,
SKU-0027,gasket type 2,B,103,1.1,
SKU-0028,valve type 2,B,100,11.3,
SKU-0029,filter short,B,97,4.1,
SKU-0030,cable DN25,B,94,9.9,
SKU-0031,sensor DN15,B,91,9.5,
SKU-0032,bearing type 2,B,88,0.2,
SKU-0033,clamp M10,B,86,7.1,
SKU-0034,housing short,B,84,11.4,
SKU-0035,spring DN15,B,82,1.2,
SKU-0036,nozzle M10,B,79,6.4,
SKU-0037,bracket DN15,B,78,4.7,
SKU-0038,hinge M8,B,76,0.5,
SKU-0039,gasket long,B,74,7.1,
SKU-0040,valve M6,B,72,4.3,
SKU-0041,filter M8,B,71,11.4,
SKU-0042,cable short,B,69,1.7,
SKU-0043,sensor type 2,B,68,4.2,
SKU-0044,bearing M6,B,66,9.1,
SKU-0045,clamp short,B,65,7.9,
SKU-0046,housing M6,B,64,6.1,
SKU-0047,spring M10,B,63,0.8,
SKU-0048,nozzle M10,B,61,5.4,
SKU-0049,bracket M6,B,60,8.2,
SKU-0050,hinge type 3,B,59,9.1,
SKU-0051,gasket long,B,58,4.7,
SKU-0052,valve M8,B,57,10.0,
SKU-0053,filter type 2,B,56,4.2,
SKU-0054,cable type 3,B,55,10.0,
SKU-0055,sensor short,B,54,10.2,
SKU-0056,bearing long,B,53,9.8,
SKU-0057,clamp short,B,53,5.5,
SKU-0058,housing type 3,B,52,2.9,
SKU-0059,spring short,B,51,10.4,
SKU-0060,nozzle DN25,B,50,0.3,
SKU-0061,bracket long,C,49,11.0,
SKU-0062,hinge M6,C,49,9.3,
SKU-0063,gasket DN15,C,48,0.7,
SKU-0064,valve M8,C,47,6.5,
SKU-0065,filter type 2,C,47,10.8,
SKU-0066,cable DN15,C,46,4.6,
SKU-0067,sensor DN15,C,45,7.0,
SKU-0068,bearing M6,C,45,4.6,
SKU-0069,clamp DN15,C,44,3.9,
SKU-0070,housing M8,C,44,4.9,
SKU-0071,spring DN25,C,43,10.6,
SKU-0072,nozzle M10,C,43,1.7,
SKU-0073,bracket long,C,42,3.8,
SKU-0074,hinge short,C,42,8.8,
SKU-0075,gasket DN25,C,41,6.6,
SKU-0076,valve short,C,41,5.4,
SKU-0077,filter DN25,C,40,2.0,
SKU-0078,cable long,C,40,7.7,
SKU-0079,sensor M8,C,39,5.1,
SKU-0080,bearing type 2,C,39,3.7,
SKU-0081,clamp type 2,C,38,2.5,
SKU-0082,housing DN15,C,38,11.6,
SKU-0083,spring short,C,37,3.4,
SKU-0084,nozzle type 3,C,37,11.7,
SKU-0085,bracket long,C,37,4.2,
SKU-0086,hinge short,C,36,6.3,
SKU-0087,gasket DN25,C,36,4.5,
SKU-0088,valve type 3,C,36,3.3,
SKU-0089,filter DN25,C,35,4.5,
SKU-0090,cable short,C,35,9.3,
SKU-0091,sensor short,C,35,6.6,
SKU-0092,bearing long,C,34,1.7,
SKU-0093,clamp DN15,C,34,4.8,
SKU-0094,housing M6,C,34,5.4,
SKU-0095,spring M10,C,33,6.8,
SKU-0096,nozzle short,C,33,4.8,
SKU-0097,bracket DN25,C,33,2.5,
SKU-0098,hinge long,C,32,1.6,
SKU-0099,gasket type 3,C,32,0.4,
SKU-0100,valve long,C,32,4.6,
SKU-0101,filter DN15,C,31,3.6,
SKU-0102,cable type 2,C,31,10.7,
SKU-0103,sensor type 2,C,31,3.1,
SKU-0104,bearing M8,C,31,5.8,
SKU-0105,clamp type 2,C,30,9.2,
SKU-0106,housing M10,C,30,10.9,
SKU-0107,spring short,C,30,2.1,
SKU-0108,nozzle M6,C,30,9.1,
SKU-0109,bracket long,C,29,4.1,
SKU-0110,hinge M10,C,29,5.5,
SKU-0111,gasket DN15,C,29,11.8,
SKU-0112,valve long,C,29,2.6,
SKU-0113,filter type 2,C,28,10.2,
SKU-0114,cable type 3,C,28,5.3,
SKU-0115,sensor DN15,C,28,9.9,
SKU-0116,bearing type 3,C,28,2.3,
SKU-0117,clamp long,C,28,8.0,
SKU-0118,housing long,C,27,3.6,
SKU-0119,spring M8,C,27,3.3,
SKU-0120,nozzle M10,C,27,12.0,
